,quarter,gdp_percentage_change_prev_q,fed_fund_rate,gov_effectiveness_perc_rank,PCECTPI,quarterly_fed_balance,Bond Rating,political_stability_perc_rank,producer_price,tax_rev_perc_gdp,employment_cost,unemployment_rate,federal_debt_FED_perc_gdp,federal_debt_foreign_investors,federal_debt_private_investors_perc_gdp
0,Q1-2001,1.3,5.597,..,75.012,-7483.666666666667,AA,..,137.76666666666668,11.8577047719749,84.7,4.233333333333333,5.00371,1012.5,27.62881
1,Q2-2001,5.0,4.326703296703297,..,75.363,64579.666666666664,A,..,136.23333333333335,11.8577047719749,85.5,4.4,5.04859,983.3,25.68733
2,Q3-2001,0.0,3.5015217391304345,..,75.401,-13889.666666666666,A,..,133.36666666666667,11.8577047719749,86.4,4.833333333333333,5.03962,992.2,26.22848
3,Q4-2001,2.4,2.130434782608696,..,75.432,-11785.333333333334,A,..,129.4,11.8577047719749,87.2,5.5,5.1752,1040.1,26.44819
4,Q1-2002,4.7,1.732888888888889,89.7297286987305,75.584,-32188.333333333332,A,53.9682540893555,128.9,9.86801667620084,87.9,5.7,5.33593,1057.2,26.42185
5,Q2-2002,3.9,1.7515384615384617,89.7297286987305,76.145,5203.333333333333,A,53.9682540893555,130.83333333333334,9.86801667620084,88.8,5.833333333333333,5.42551,1123.1,26.17507
6,Q3-2002,3.6,1.7408695652173911,89.7297286987305,76.539,-13826.666666666666,BBB,53.9682540893555,131.66666666666666,9.86801667620084,89.5,5.733333333333333,5.50071,1188.6,26.62773
7,Q4-2002,2.8,1.4442391304347826,89.7297286987305,76.896,-36078.666666666664,BBB,53.9682540893555,133.06666666666666,9.86801667620084,90.1,5.866666666666667,5.69004,1235.6,27.28851
8,Q1-2003,4.1,1.2496666666666667,89.7297286987305,77.484,-48302.333333333336,BBB,46.7336692810059,138.03333333333333,9.3906925792894,91.2,5.866666666666667,5.74094,1275.2,27.47418
9,Q2-2003,5.1,1.2467032967032967,89.7297286987305,77.562,-5523.666666666667,BBB,46.7336692810059,137.16666666666666,9.3906925792894,92.0,6.133333333333333,5.76428,1371.9,27.97459
10,Q3-2003,9.3,1.0168478260869565,89.7297286987305,78.073,-35808.333333333336,BBB,46.7336692810059,138.06666666666666,9.3906925792894,92.9,6.133333333333333,5.67233,1443.3,28.25273
11,Q4-2003,7.3,0.9967391304347828,89.7297286987305,78.457,-43385.333333333336,BBB,46.7336692810059,139.23333333333335,9.3906925792894,93.6,5.833333333333333,5.66333,1523.1,28.69379
12,Q1-2004,5.2,1.001868131868132,92.0398025512695,79.062,-57082.333333333336,BBB,37.3786392211914,142.20000000000002,9.53747079117008,94.6,5.7,5.65357,1670.0,29.37741
13,Q2-2004,6.5,1.0113186813186814,92.0398025512695,79.594,-8587.0,BBB,37.3786392211914,146.26666666666668,9.53747079117008,95.5,5.599999999999999,5.67498,1735.4,29.15507
14,Q3-2004,6.5,1.4307608695652174,92.0398025512695,79.985,-28560.333333333332,BBB,37.3786392211914,147.70000000000002,9.53747079117008,96.4,5.433333333333334,5.69104,1794.5,29.31337
15,Q4-2004,7.4,1.9498913043478256,92.0398025512695,80.669,-38783.0,BBB,37.3786392211914,150.53333333333333,9.53747079117008,97.1,5.433333333333334,5.72993,1849.3,29.45986
16,Q1-2005,7.9,2.4690000000000003,90.1960754394531,81.138,-59135.666666666664,BBB,43.6893196105957,152.06666666666666,10.6817329318669,98.0,5.3,5.61827,1952.0,30.19436
17,Q2-2005,5.0,2.941758241758241,90.1960754394531,81.65,14735.666666666666,BBB,43.6893196105957,154.53333333333333,10.6817329318669,98.6,5.1000000000000005,5.60798,1878.0,29.42893
18,Q3-2005,7.0,3.46,90.1960754394531,82.532,-23065.666666666668,BBB,43.6893196105957,158.70000000000002,10.6817329318669,99.3,4.966666666666667,5.60314,1930.0,29.40809
19,Q4-2005,5.6,3.978260869565217,90.1960754394531,83.189,-39794.0,BBB,43.6893196105957,164.29999999999998,10.6817329318669,100.1,4.966666666666667,5.58532,2034.0,29.80291
20,Q1-2006,8.5,4.454111111111112,90.7317047119141,83.621,-61184.666666666664,BBB,60.8695640563965,162.76666666666668,11.3104788990808,100.7,4.733333333333333,5.57755,2082.1,30.25187
21,Q2-2006,4.6,4.907582417582417,90.7317047119141,84.355,32150.333333333332,BBB,60.8695640563965,165.4,11.3104788990808,101.6,4.633333333333333,5.57243,1977.8,29.30761
22,Q3-2006,3.4,5.2453260869565215,90.7317047119141,84.962,-13904.666666666666,BBB,60.8695640563965,166.70000000000002,11.3104788990808,102.6,4.633333333333334,5.54354,2025.3,29.37379
23,Q4-2006,5.0,5.242934782608696,90.7317047119141,84.822,-26800.666666666668,BBB,60.8695640563965,164.13333333333333,11.3104788990808,103.4,4.433333333333334,5.54789,2103.1,29.36061
24,Q1-2007,5.1,5.254555555555556,93.2038803100586,85.597,-59342.333333333336,BBB,57.0048294067383,166.70000000000002,11.2899126640813,104.2,4.5,5.49324,2194.8,30.05912
25,Q2-2007,5.3,5.252417582417583,93.2038803100586,86.324,45818.666666666664,BBB,57.0048294067383,172.83333333333334,11.2899126640813,105.1,4.5,5.48879,2192.0,28.83333
26,Q3-2007,4.6,5.074347826086957,93.2038803100586,86.812,-13518.0,BBB,57.0048294067383,173.66666666666666,11.2899126640813,105.9,4.666666666666667,5.35288,2235.3,29.31657
27,Q4-2007,4.2,4.495652173913044,93.2038803100586,87.694,-35605.0,BBB,57.0048294067383,177.4333333333333,11.2899126640813,106.8,4.8,5.03294,2353.2,29.87212
28,Q1-2008,-0.2,3.1814285714285715,92.2330093383789,88.408,-68645.33333333333,BBB,66.8269195556641,183.86666666666667,10.2761880916694,107.6,5.0,4.01998,2506.3,32.25028
29,Q2-2008,4.4,2.0847252747252747,92.2330093383789,89.269,8967.333333333334,BBB,66.8269195556641,196.0,10.2761880916694,108.3,5.333333333333333,3.22084,2587.4,32.3308
